,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
35,29,Shai Gilgeous-Alexander,OKC,21,70,43,27,34.7,112.7,109.2,3.5,14.8,1.73,15.1,2.0,14.6,8.5,8.7,51.4,56.8,23.5,99.60,12.3
36,37,Donovan Mitchell,UTA,23,69,43,26,34.3,111.2,108.6,2.6,21.4,1.60,15.0,2.3,10.1,6.4,9.4,51.3,55.8,30.3,100.47,12.5
37,37,Doug McDermott,IND,28,69,43,26,19.9,108.7,105.5,3.2,8.1,1.86,11.4,1.8,9.8,5.9,6.1,60.5,62.0,18.6,102.43,9.3
38,37,Dwight Howard,LAL,34,69,52,17,18.9,112.3,106.4,5.9,4.8,0.54,9.0,12.8,25.7,19.1,16.8,73.5,69.6,14.6,99.50,11.4
39,37,Grant Williams,BOS,21,69,47,22,15.1,109.9,103.5,6.3,8.5,1.36,19.3,5.3,10.6,7.9,14.2,46.9,50.5,11.2,102.84,3.8
40,37,James Ennis III,ORL,29,69,42,27,18.3,110.3,110.2,0.1,6.7,1.09,12.0,5.5,13.7,9.6,11.1,52.2,56.5,15.1,102.21,6.8
41,37,Joe Harris,BKN,28,69,33,36,30.8,110.8,109.9,0.9,10.0,1.38,13.5,2.8,10.2,6.5,9.7,59.6,60.6,17.9,102.23,8.8
42,37,Kentavious Caldwell-Pope,LAL,27,69,51,18,25.5,110.6,107.2,3.5,8.5,1.79,15.4,2.1,5.6,3.8,8.6,55.8,58.4,14.2,102.42,6.5
43,37,OG Anunoby,TOR,22,69,50,19,29.9,110.3,104.2,6.2,7.4,1.37,13.6,3.8,12.9,8.5,9.9,58.4,60.0,14.2,101.93,8.6
44,37,Semi Ojeleye,BOS,25,69,46,23,14.6,104.6,106.1,-1.5,5.1,1.95,14.0,2.4,10.9,6.6,7.2,53.1,56.2,9.4,100.36,5.7
45,37,Terrence Ross,ORL,29,69,31,38,27.4,105.5,108.0,-2.5,7.2,1.17,7.7,0.6,10.8,5.4,6.6,50.8,54.8,21.6,100.51,9.5
46,37,Troy Brown Jr.,WAS,20,69,24,45,25.8,108.2,113.7,-5.5,14.2,2.25,19.0,4.0,17.1,10.3,8.4,48.8,52.4,17.4,104.54,10.0
47,48,Austin Rivers,HOU,27,68,43,25,23.4,112.9,110.4,2.6,9.8,2.26,15.9,1.6,8.9,5.1,7.0,51.7,54.2,15.3,105.87,6.3
48,48,Brook Lopez,MIL,32,68,53,15,26.7,112.2,100.1,12.0,7.3,1.41,10.9,3.1,11.8,7.7,7.7,51.1,55.1,18.1,106.60,8.8
49,48,Danny Green,LAL,33,68,51,17,24.8,112.4,106.0,6.4,6.9,1.44,14.1,3.0,10.0,6.5,9.7,54.2,55.2,13.5,102.70,6.5
50,48,DeMar DeRozan,SAS,30,68,31,37,34.1,111.8,113.7,-1.8,26.1,2.32,21.3,1.9,13.9,8.0,9.2,53.5,60.3,26.2,100.87,14.0
51,48,Derrick White,SAS,25,68,32,36,24.7,110.1,109.2,1.0,20.3,2.71,24.8,2.0,10.5,6.4,9.2,53.0,59.3,18.3,103.36,10.2
52,48,Ish Smith,WAS,31,68,23,45,26.3,109.2,113.1,-3.9,26.6,3.52,28.9,1.5,10.3,5.7,8.2,49.2,50.9,18.6,104.48,10.0
53,48,JaVale McGee,LAL,32,68,51,17,16.6,111.5,105.7,5.8,4.4,0.67,8.6,11.1,21.8,16.6,12.8,64.2,65.2,14.5,101.90,11.3
54,48,James Harden,HOU,30,68,43,25,36.5,114.0,108.2,5.8,36.6,1.66,19.4,2.6,13.9,8.3,11.6,54.3,62.6,35.6,103.04,19.0
55,48,Kent Bazemore,SAC,30,68,32,36,24.8,107.5,106.6,0.8,7.7,1.02,11.9,1.5,14.4,8.1,11.6,45.3,49.9,17.1,102.83,6.4
56,48,Mike Scott,PHI,31,68,39,29,17.8,110.2,104.6,5.7,6.4,2.15,12.5,5.1,14.8,9.9,5.8,54.0,55.7,13.2,101.84,7.9
57,48,Rudy Gobert,UTA,28,68,42,26,34.3,112.8,106.6,6.2,6.5,0.78,10.4,10.4,27.6,19.5,13.4,69.3,69.9,16.2,99.37,15.1
58,59,Al Horford,PHI,34,67,39,28,30.2,110.1,106.8,3.3,18.7,3.38,24.7,5.1,17.1,11.1,7.3,52.0,53.6,17.3,100.63,11.2
59,59,Hassan Whiteside,POR,31,67,34,33,30.0,114.8,112.0,2.7,5.8,0.65,7.8,12.3,29.4,21.1,12.0,62.4,64.4,19.2,101.09,15.9
60,59,Ja Morant,MEM,20,67,33,34,31.0,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9.0,5.9,12.3,50.9,55.6,25.6,103.79,13.0
61,59,Kelly Olynyk,MIA,29,67,41,26,19.4,110.5,109.0,1.5,13.1,1.63,18.5,3.4,19.1,11.5,11.3,58.2,62.1,16.5,101.59,10.2
62,59,Kendrick Nunn,MIA,24,67,42,25,29.3,110.3,109.1,1.2,18.2,1.93,17.0,1.1,7.9,4.6,8.8,51.4,53.4,23.6,99.10,8.6
63,59,Kyle Anderson,MEM,26,67,32,35,19.8,102.9,105.8,-3.0,16.3,2.45,27.2,4.2,15.1,9.9,11.1,51.1,53.4,13.4,104.76,9.4
64,59,LeBron James,LAL,35,67,50,17,34.6,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11.0,10.9,55.0,57.7,30.8,101.50,19.8
65,59,Pat Connaughton,MIL,27,67,53,14,18.6,107.3,103.8,3.5,11.5,2.06,22.5,4.4,15.1,10.0,10.9,54.7,56.5,11.8,107.17,9.0
66,59,Rudy Gay,SAS,33,67,30,37,21.8,108.3,108.1,0.2,11.6,1.30,13.3,4.0,19.4,11.7,10.3,50.8,55.3,21.1,104.18,11.2
67,59,T.J. Warren,IND,26,67,42,25,32.9,109.6,106.9,2.7,7.2,1.18,7.9,3.1,9.2,6.3,6.7,58.1,61.0,22.9,99.06,11.3
68,59,Wesley Matthews,MIL,33,67,52,15,24.4,110.5,98.3,12.2,7.0,2.14,15.8,1.3,7.3,4.5,7.4,52.4,54.7,12.3,107.09,5.3
69,70,Aaron Holiday,IND,23,66,42,24,24.5,109.1,106.9,2.2,18.8,2.56,24.6,1.3,7.7,4.6,9.6,49.1,52.1,18.2,100.31,7.8
70,70,Alec Burks,PHI,28,66,21,45,26.6,103.5,109.8,-6.3,17.9,2.08,16.3,2.5,13.1,7.7,7.8,49.3,56.1,23.0,101.88,11.9
