,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
34,Bismack Biyombo,CHA,27,2.6,3.9,65.4,0.2,0.9,20.4,0.1,0.3,26.7,0.0,0.1,16.7,0.0,0.0,0.0,0.0,0.0,0.0,,,
35,Blake Griffin,DET,31,3.1,5.9,51.4,0.2,0.8,20.0,0.1,0.4,25.0,0.1,0.3,16.7,0.4,2.3,19.5,1.0,4.0,25.0,,,
36,Boban Marjanovic,DAL,31,2.1,2.8,75.2,0.6,1.3,42.3,0.2,0.5,30.0,0.1,0.2,50.0,0.1,0.1,66.7,0.1,0.4,13.3,,,
37,Bobby Portis,NYK,25,1.4,2.5,57.2,0.6,1.3,50.6,0.4,0.9,41.7,0.3,0.9,35.1,0.6,1.6,37.7,0.7,1.8,37.1,,,
38,Bogdan Bogdanovic,SAC,27,1.2,2.1,58.3,0.6,1.0,53.1,0.4,1.0,42.2,0.4,0.8,56.3,1.1,2.9,39.8,1.7,4.6,37.0,,,
39,Bojan Bogdanovic,UTA,31,2.4,4.1,59.0,0.7,1.9,37.8,0.3,1.0,32.3,0.2,0.5,32.4,1.4,3.4,41.9,1.6,3.8,40.8,,,
40,Bol Bol,DEN,20,1.3,1.7,80.0,0.2,0.5,33.3,0.2,0.7,25.0,0.0,0.3,0.0,0.2,1.0,16.7,0.5,0.5,100,,,
41,Brad Wanamaker,BOS,30,1.2,2.0,59.3,0.2,0.7,23.4,0.2,0.4,42.3,0.1,0.3,31.8,0.3,0.5,48.6,0.4,1.2,34.1,,,
42,Bradley Beal,WAS,27,4.4,6.9,63.9,0.6,1.8,35.6,1.1,2.4,45.3,1.1,2.7,40.0,0.9,2.6,35.1,2.2,6.3,35.8,,,
43,Brandon Clarke,MEM,23,3.2,4.4,73.2,0.6,1.2,52.9,0.7,1.2,58.6,0.1,0.3,40.0,0.2,0.6,35.1,0.2,0.6,37.5,,,
44,Brandon Goodwin,ATL,24,0.9,1.5,56.9,0.3,0.7,39.1,0.2,0.5,41.2,0.1,0.3,33.3,0.2,1.0,25.0,0.6,1.6,35.7,,,
45,Brandon Ingram,NOP,22,3.2,5.3,60.7,0.5,1.4,37.6,1.0,2.5,41.4,0.9,2.1,43.4,1.3,3.0,43.9,1.2,3.4,35.7,,,
46,Brandon Knight,DET,28,0.2,0.5,33.3,0.1,0.4,30.0,0.3,0.5,58.3,0.0,0.0,0.0,0.4,1.3,28.1,1.4,3.9,35.7,,,
47,Brian Bowen II,IND,21,0.3,0.8,40.0,0.2,0.2,100,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,,,
48,Brook Lopez,MIL,32,1.8,2.6,66.9,0.6,1.4,40.2,0.4,0.9,46.7,0.0,0.1,37.5,0.4,1.3,30.6,1.1,3.5,31.9,,,
49,Bruce Brown,DET,23,2.2,4.3,51.8,0.6,1.4,38.6,0.1,0.3,25.0,0.0,0.0,0.0,0.4,1.1,39.1,0.2,0.6,26.5,,,
50,Bruno Caboclo,HOU,24,0.9,1.4,61.9,0.1,0.3,44.4,0.0,0.0,0.0,0.0,0.1,50.0,0.2,0.7,31.6,0.0,0.6,5.9,,,
