,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
150,Ed Davis,UTA,31,0.7,1.4,52.6,0.0,0.3,14.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,,,
151,Edmond Sumner,IND,24,1.4,2.2,64.2,0.1,0.4,15.4,0.0,0.2,14.3,0.0,0.1,50.0,0.3,0.8,41.7,0.1,0.9,14.3,,,
152,Elfrid Payton,NYK,26,2.6,5.0,53.4,0.7,1.6,43.2,0.3,0.8,36.8,0.3,0.8,40.0,0.2,0.5,30.4,0.2,1.0,15.6,,,
153,Elie Okobo,PHX,22,0.7,1.2,54.4,0.0,0.2,16.7,0.1,0.5,29.2,0.0,0.1,20.0,0.2,0.5,44.4,0.2,0.8,30.2,,,
154,Emmanuel Mudiay,UTA,24,1.0,1.9,53.8,0.4,0.8,50.0,0.5,1.2,43.8,0.3,0.5,59.3,0.3,0.8,33.3,0.3,0.8,34.9,,,
155,Enes Kanter,BOS,28,3.0,4.9,61.6,0.3,0.7,42.5,0.0,0.1,33.3,0.1,0.2,30.8,0.0,0.1,50.0,0.0,0.1,0.0,,,
156,Eric Bledsoe,MIL,30,3.1,4.8,65.2,0.4,1.3,32.5,0.4,1.0,37.3,0.3,0.8,34.7,0.4,1.0,40.0,0.9,2.8,33.9,,,
157,Eric Gordon,HOU,31,1.9,3.5,54.0,0.1,0.5,21.1,0.1,0.3,33.3,0.0,0.0,0.0,0.3,1.4,18.0,2.4,6.9,34.1,,,
158,Eric Mika,SAC,25,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
159,Eric Paschall,GSW,23,2.9,4.5,65.7,0.6,1.4,41.0,0.4,0.9,42.9,0.6,1.3,46.7,0.4,1.3,31.6,0.4,1.3,31.3,,,
160,Ersan Ilyasova,MIL,33,1.1,2.0,58.1,0.1,0.3,38.1,0.1,0.3,41.2,0.1,0.1,66.7,0.3,0.8,32.7,0.6,1.4,40.2,,,
161,Evan Fournier,ORL,27,2.2,3.3,65.5,0.5,1.2,41.3,0.5,1.2,40.8,0.5,1.3,37.3,1.3,2.4,51.6,1.7,4.7,36.5,,,
162,Evan Turner,MIN,31,0.6,1.1,52.4,0.3,0.5,55.6,0.2,0.9,16.7,0.3,0.6,50.0,0.0,0.3,0.0,0.0,0.1,0.0,,,
163,Frank Jackson,NOP,22,0.9,1.7,51.5,0.2,0.6,38.7,0.3,0.6,51.6,0.1,0.3,27.8,0.5,1.3,36.4,0.4,1.3,30.1,,,
164,Frank Kaminsky,PHX,27,1.7,2.9,58.3,0.5,0.9,57.1,0.1,0.5,27.8,0.1,0.3,41.7,0.3,0.8,33.3,0.8,2.5,32.0,,,
165,Frank Mason,MIL,26,1.6,2.8,59.1,0.0,0.3,0.0,0.1,0.1,100,0.2,0.3,66.7,0.3,0.8,33.3,0.6,2.0,31.3,,,
166,Frank Ntilikina,NYK,21,0.7,1.3,53.4,0.1,0.4,40.0,0.1,0.6,24.2,0.4,0.8,46.3,0.7,1.6,44.3,0.3,1.3,22.7,,,
167,Fred VanVleet,TOR,26,2.6,5.4,48.5,0.1,0.6,25.8,0.1,0.4,33.3,0.1,0.6,25.0,1.0,2.4,41.1,1.7,4.6,37.6,,,
168,Furkan Korkmaz,PHI,22,0.7,1.2,59.1,0.2,0.6,37.2,0.2,0.5,38.2,0.2,0.5,40.6,0.8,1.7,48.8,1.2,3.3,36.7,,,
169,Gabe Vincent,MIA,24,0.1,0.7,20.0,0.1,0.1,100,0.0,0.7,0.0,0.0,0.0,0.0,0.2,1.2,14.3,0.6,2.5,25.0,,,
170,Garrett Temple,BKN,34,1.0,1.9,54.6,0.1,0.2,42.9,0.1,0.5,30.0,0.2,0.4,40.7,1.0,3.1,33.2,1.1,3.2,33.5,,,
171,Garrison Mathews,WAS,23,0.1,0.1,100,0.1,0.2,33.3,0.0,0.1,0.0,0.2,0.3,60.0,0.4,0.8,46.2,0.7,1.7,40.0,,,
172,Gary Clark,ORL,25,0.3,0.4,76.5,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,100,0.5,1.2,39.1,0.5,1.5,32.3,,,
173,Gary Harris,DEN,25,1.9,3.3,56.5,0.2,0.8,27.9,0.2,0.6,30.6,0.3,0.6,42.4,0.9,2.2,39.8,0.5,1.8,28.6,,,
174,Gary Payton II,WAS,27,1.2,2.1,57.9,0.0,0.3,0.0,0.0,0.1,33.3,0.0,0.1,50.0,0.3,1.0,28.0,0.2,0.8,28.6,,,
175,Gary Trent Jr.,POR,21,0.6,1.0,59.3,0.1,0.3,40.0,0.2,0.5,42.9,0.4,0.9,47.2,0.9,2.3,38.5,1.1,2.4,45.1,,,
176,George Hill,MIL,34,1.5,2.2,67.9,0.1,0.4,25.0,0.1,0.3,38.9,0.1,0.4,31.8,0.5,1.1,51.6,0.9,2.0,44.9,,,
177,Georges Niang,UTA,27,0.5,0.7,66.7,0.2,0.4,42.9,0.1,0.2,35.7,0.0,0.1,28.6,0.8,2.0,41.4,0.6,1.5,38.1,,,
178,Giannis Antetokounmpo,MIL,25,7.9,10.9,72.4,0.6,1.7,34.5,0.5,1.3,42.5,0.4,1.0,40.3,0.3,0.6,44.7,1.2,4.2,28.8,,,
179,Glenn Robinson III,PHI,26,1.7,2.6,66.3,0.5,1.0,43.1,0.4,1.0,44.3,0.6,1.3,46.3,0.8,1.9,39.2,0.7,1.6,40.2,,,
180,Goga Bitadze,IND,20,0.6,0.8,77.3,0.2,0.4,47.6,0.1,0.4,30.0,0.3,0.5,60.0,0.0,0.3,13.3,0.1,0.5,20.7,,,
181,Goran Dragic,MIA,34,1.9,3.1,62.8,0.3,1.0,33.9,0.4,1.2,34.8,0.5,1.1,46.8,0.9,2.1,41.8,1.4,3.8,35.9,,,
182,Gordon Hayward,BOS,30,2.6,3.8,67.7,0.7,1.5,45.0,0.9,1.9,49.0,0.6,1.5,42.1,0.8,1.9,44.9,1.1,2.8,37.7,,,
183,Gorgui Dieng,MEM,30,1.2,1.8,62.9,0.2,0.5,41.4,0.2,0.4,44.0,0.1,0.4,36.4,0.5,1.4,39.1,0.4,1.3,33.3,,,
184,Grant Williams,BOS,21,0.7,1.1,66.2,0.1,0.3,45.5,0.0,0.2,23.1,0.0,0.1,16.7,0.2,0.8,27.8,0.1,0.6,22.5,,,
185,Grayson Allen,MEM,24,0.8,1.3,63.3,0.4,0.9,47.1,0.4,0.7,52.0,0.0,0.0,0.0,0.7,1.4,49.1,0.8,2.3,34.5,,,
186,Hamidou Diallo,OKC,21,2.0,3.7,55.4,0.2,0.8,29.7,0.1,0.4,29.4,0.1,0.3,35.7,0.3,0.9,34.1,0.1,0.4,22.2,,,
187,Harrison Barnes,SAC,28,2.7,4.4,60.0,0.7,1.9,36.7,0.2,0.6,27.9,0.1,0.3,38.1,0.7,1.9,38.1,0.7,1.8,37.8,,,
188,Harry Giles III,SAC,22,1.9,2.8,70.1,0.4,0.9,41.0,0.3,0.8,38.2,0.4,0.8,47.4,0.1,0.3,23.1,0.0,0.0,0.0,,,
189,Hassan Whiteside,POR,31,4.9,6.9,71.1,0.8,1.7,48.7,0.4,1.0,43.3,0.3,0.6,39.5,0.1,0.2,38.5,0.0,0.1,40.0,,,
190,Henry Ellenson,BKN,23,0.2,0.4,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,,,
191,Ian Mahinmi,WAS,33,2.1,3.6,58.0,0.4,1.0,40.5,0.1,0.1,40.0,0.0,0.0,0.0,0.1,0.2,33.3,0.1,0.5,21.1,,,
192,Ignas Brazdeikis,NYK,21,0.6,0.9,71.4,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.9,14.3,,,
193,Iman Shumpert,BKN,30,0.5,0.9,58.3,0.0,0.0,0.0,0.1,0.2,33.3,0.2,0.8,30.0,0.5,1.4,38.9,0.2,1.6,14.3,,,
194,Isaac Bonga,WAS,20,1.3,2.1,61.5,0.1,0.2,46.7,0.0,0.1,22.2,0.0,0.0,0.0,0.3,0.6,47.4,0.1,0.5,25.8,,,
195,Isaiah Hartenstein,HOU,22,1.8,2.3,76.5,0.2,0.5,44.4,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,,
196,Isaiah Roby,OKC,22,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
197,Isaiah Thomas,WAS,31,0.5,1.2,42.9,0.4,1.2,31.9,0.6,1.6,35.9,0.9,1.8,52.1,0.4,1.3,32.0,1.5,3.7,42.0,,,
198,Ish Smith,WAS,31,1.8,3.1,56.3,0.3,1.0,33.3,0.7,1.3,50.6,0.8,2.0,39.3,0.5,1.3,37.9,0.5,1.5,35.4,,,
199,Ivica Zubac,LAC,23,2.8,4.3,63.6,0.3,0.6,48.8,0.1,0.2,50.0,0.1,0.2,53.8,0.1,0.1,100,0.0,0.0,0.0,,,
200,J.J. Barea,DAL,36,1.2,2.1,55.7,0.2,0.9,26.9,0.1,0.5,21.4,0.2,0.5,33.3,0.5,1.1,45.2,0.8,2.0,37.3,,,
201,J.P. Macura,CLE,25,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,,,
202,JJ Redick,NOP,36,0.5,1.0,56.1,0.1,0.3,25.0,0.2,0.5,39.3,0.6,1.4,40.5,1.4,2.8,48.8,2.0,4.5,45.0,,,
203,JR Smith,LAL,34,0.2,0.2,100,0.2,0.7,25.0,0.7,0.7,100,0.0,0.2,0.0,0.0,1.0,0.0,0.2,1.0,16.7,,,
204,Ja Morant,MEM,20,3.8,6.8,56.2,1.0,2.2,43.2,0.7,1.6,47.2,0.2,0.5,35.5,0.3,0.7,34.7,0.7,2.0,34.8,,,
205,JaKarr Sampson,IND,27,1.6,2.2,75.7,0.1,0.3,45.5,0.1,0.3,18.2,0.1,0.2,40.0,0.1,0.3,18.2,0.0,0.1,33.3,,,
206,JaMychal Green,LAC,30,0.7,1.4,54.7,0.1,0.3,47.1,0.0,0.0,50.0,0.0,0.1,40.0,0.7,1.6,43.3,0.8,2.3,34.7,,,
207,JaVale McGee,LAL,32,2.5,3.6,68.8,0.2,0.5,38.9,0.1,0.2,50.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.1,60.0,,,
208,Jabari Parker,SAC,25,4.0,5.8,69.9,0.5,1.2,43.2,0.2,0.6,33.3,0.2,0.5,30.0,0.5,1.6,31.0,0.4,1.7,24.6,,,
209,Jacob Evans,MIN,23,0.3,0.8,36.4,0.0,0.3,12.5,0.3,0.8,34.8,0.5,1.3,38.9,0.1,0.6,23.5,0.4,1.0,37.0,,,
210,Jae Crowder,MIA,29,1.1,1.8,63.8,0.0,0.2,23.1,0.0,0.2,27.3,0.1,0.3,42.1,0.9,2.4,39.4,1.2,3.7,31.7,,,
211,Jahlil Okafor,NOP,24,2.7,3.9,68.4,0.6,1.2,51.4,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,50.0,,,
212,Jake Layman,MIN,26,1.9,3.2,58.1,0.2,0.6,28.6,0.2,0.3,57.1,0.2,0.3,66.7,0.5,1.4,33.3,0.7,1.9,34.1,,,
213,Jakob Poeltl,SAS,24,2.0,3.0,65.2,0.3,0.7,52.3,0.2,0.3,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
214,Jalen Brunson,DAL,23,1.1,1.8,59.8,0.6,1.2,47.7,0.4,0.8,51.1,0.3,0.9,39.6,0.4,1.0,41.4,0.4,1.2,31.9,,,
215,Jalen Lecque,PHX,20,0.6,0.8,75.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.5,0.0,,,
216,Jalen McDaniels,CHA,22,1.1,1.9,60.0,0.2,0.7,30.0,0.1,0.4,40.0,0.1,0.1,100,0.4,0.9,42.9,0.2,0.6,33.3,,,
217,Jamal Crawford,BKN,40,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,1.0,2.0,50.0,1.0,2.0,50.0,,,
218,Jamal Murray,DEN,23,2.2,3.6,61.7,0.6,1.3,44.2,0.8,1.7,45.9,1.1,2.5,43.0,1.2,2.8,41.7,1.1,3.2,34.4,,,
219,James Ennis III,ORL,29,1.3,2.2,59.9,0.1,0.2,42.9,0.0,0.2,27.3,0.0,0.1,33.3,0.5,1.2,41.0,0.3,1.3,26.1,,,
220,James Harden,HOU,30,4.3,6.9,61.8,1.0,2.4,40.5,0.1,0.4,33.3,0.1,0.2,61.5,0.4,1.3,32.2,3.8,10.7,35.9,,,
221,James Johnson,MIN,33,2.0,3.2,61.8,0.1,0.4,36.4,0.0,0.2,14.3,0.1,0.1,50.0,0.3,0.9,32.1,0.8,1.8,41.4,,,
222,Jared Dudley,LAL,34,0.1,0.3,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0,0.2,0.4,57.1,0.2,0.6,33.3,,,
223,Jared Harper,NYK,22,0.0,0.3,0.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,,,
224,Jaren Jackson Jr.,MEM,20,2.7,4.2,64.5,0.7,1.9,36.9,0.1,0.4,33.3,0.1,0.1,50.0,0.8,2.1,38.8,1.7,4.2,39.6,,,
225,Jarred Vanderbilt,MIN,21,0.5,0.6,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,
226,Jarrell Brantley,UTA,24,0.8,1.1,70.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,1.0,25.0,0.1,0.6,20.0,,,
227,Jarrett Allen,BKN,22,4.1,5.9,70.5,0.1,0.6,23.1,0.1,0.1,44.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,
228,Jarrett Culver,MIN,21,2.3,4.4,51.6,0.2,0.7,27.7,0.1,0.2,50.0,0.0,0.2,15.4,0.4,1.4,31.4,0.6,2.1,29.6,,,
229,Jarrod Uthoff,WAS,27,0.1,0.3,50.0,0.0,0.4,0.0,0.4,0.4,100,0.3,0.8,33.3,0.2,0.5,33.3,0.3,0.9,33.3,,,
230,Javonte Green,BOS,26,0.9,1.6,60.3,0.2,0.3,46.7,0.0,0.1,50.0,0.0,0.0,100,0.1,0.3,33.3,0.1,0.4,23.5,,,
231,Jaxson Hayes,NOP,20,2.6,3.7,71.8,0.0,0.2,20.0,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,,,
232,Jaylen Brown,BOS,23,3.4,5.6,61.1,0.8,1.6,46.2,0.5,1.1,46.9,0.5,1.1,45.2,1.1,2.5,46.4,1.2,3.6,32.5,,,
233,Jaylen Hoard,POR,21,1.3,1.8,71.4,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,,,
234,Jaylen Nowell,MIN,20,0.6,1.2,50.0,0.3,0.4,83.3,0.1,0.1,50.0,0.1,0.1,100,0.1,0.9,16.7,0.1,1.0,7.1,,,
235,Jayson Tatum,BOS,22,3.4,6.1,55.4,0.6,1.4,39.8,0.8,2.0,39.1,0.7,1.7,42.0,0.9,2.2,40.3,2.0,5.1,39.9,,,
236,Jeff Green,HOU,33,1.6,2.4,67.2,0.3,0.6,46.7,0.1,0.2,37.5,0.0,0.1,0.0,0.8,2.0,37.8,0.6,1.6,34.2,,,
237,Jeff Teague,ATL,32,1.7,3.1,53.0,0.8,1.8,43.0,0.3,0.9,32.1,0.2,0.4,39.1,0.2,0.5,34.4,0.5,1.4,37.6,,,
238,Jerami Grant,DEN,26,2.2,3.3,66.1,0.3,0.9,33.8,0.2,0.5,38.2,0.2,0.5,35.9,0.8,2.0,39.9,0.6,1.7,36.1,,,
239,Jeremiah Martin,BKN,24,1.6,2.4,63.6,0.4,0.7,60.0,0.1,0.5,25.0,0.1,0.4,33.3,0.1,0.6,20.0,0.5,1.6,30.8,,,
240,Jeremy Lamb,IND,28,1.5,2.6,57.1,0.5,1.0,50.0,0.8,1.2,63.2,0.7,1.9,37.1,0.4,1.3,34.5,0.8,2.3,34.6,,,
241,Jeremy Pargo,GSW,34,1.7,2.0,83.3,0.0,1.0,0.0,0.7,1.0,66.7,0.3,0.7,50.0,0.0,0.3,0.0,1.0,2.3,42.9,,,
242,Jerian Grant,WAS,27,0.8,1.7,50.0,0.2,0.7,25.0,0.2,0.5,33.3,0.0,0.0,0.0,0.2,0.5,33.3,0.3,1.2,28.6,,,
243,Jerome Robinson,WAS,23,0.4,0.8,50.0,0.1,0.4,26.1,0.2,0.5,48.3,0.3,0.7,45.0,0.3,1.3,27.3,0.5,1.5,33.3,,,
244,Jevon Carter,PHX,24,0.3,0.8,45.5,0.0,0.2,15.4,0.1,0.2,45.5,0.2,0.4,43.5,0.6,1.3,42.7,0.6,1.3,42.7,,,
245,Jimmy Butler,MIA,30,3.4,5.4,62.7,0.9,2.4,39.6,0.6,1.7,38.5,0.4,1.3,28.8,0.3,0.9,30.2,0.3,1.3,23.3,,,
246,Joakim Noah,LAC,35,0.8,1.6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
247,Joe Chealey,CHA,24,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.3,0.0,,,
248,Joe Harris,BKN,28,2.4,4.1,59.6,0.2,0.5,33.3,0.1,0.3,50.0,0.2,0.4,48.3,1.0,2.2,45.1,1.6,3.9,40.6,,,
249,Joe Ingles,UTA,32,1.0,1.5,63.9,0.2,0.7,34.0,0.2,0.4,48.3,0.0,0.1,42.9,0.8,2.2,38.0,1.1,2.7,41.8,,,
250,Joel Embiid,PHI,26,3.3,5.0,66.4,1.0,2.0,49.0,1.1,2.6,40.9,0.8,2.3,35.0,0.2,0.8,30.8,1.1,2.9,36.5,,,
251,John Collins,ATL,22,6.0,8.3,72.1,0.6,1.3,48.1,0.2,0.9,27.8,0.2,0.5,47.6,0.4,1.0,41.5,1.1,2.7,40.2,,,
252,John Henson,DET,29,1.8,2.5,73.7,0.3,0.8,39.4,0.0,0.0,100,0.0,0.1,0.0,0.1,0.5,20.0,0.1,0.4,26.7,,,
253,John Konchar,MEM,24,0.9,1.4,69.6,0.1,0.1,100,0.1,0.1,50.0,0.0,0.0,0.0,0.1,0.3,16.7,0.2,0.2,100,,,
254,Johnathan Motley,LAC,25,0.8,1.1,76.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100,,,
255,Johnathan Williams,WAS,25,0.9,1.1,81.3,0.3,0.5,57.1,0.0,0.2,0.0,0.2,0.5,33.3,0.0,0.1,0.0,0.0,0.0,0.0,,,
256,Jonah Bolden,PHX,24,0.7,1.2,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,,,
257,Jonas Valanciunas,MEM,28,3.9,5.5,70.4,1.4,2.7,53.4,0.2,0.7,34.0,0.1,0.2,43.8,0.1,0.5,27.3,0.4,0.9,40.3,,,
258,Jonathan Isaac,ORL,22,2.6,4.0,64.0,0.1,0.5,27.8,0.5,1.2,37.5,0.5,1.2,40.0,0.4,1.2,37.5,0.5,1.7,31.0,,,
259,Jordan Bell,CLE,25,1.0,1.5,65.9,0.1,0.2,33.3,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.3,40.0,0.0,0.1,0.0,,,
260,Jordan Bone,DET,22,0.1,0.2,50.0,0.0,0.3,0.0,0.2,0.4,50.0,0.0,0.3,0.0,0.0,0.3,0.0,0.2,0.8,28.6,,,
261,Jordan Clarkson,UTA,28,2.1,3.3,62.6,0.9,1.8,51.2,0.3,0.9,34.4,0.1,0.3,25.0,1.0,2.5,38.0,1.2,3.4,36.7,,,
262,Jordan McLaughlin,MIN,24,1.7,2.9,59.1,0.1,0.3,30.0,0.1,0.1,100,0.0,0.0,0.0,0.3,0.8,34.8,0.7,1.6,44.7,,,
263,Jordan McRae,DET,29,1.5,2.7,56.0,0.3,0.9,32.4,0.3,1.2,27.3,0.6,1.4,40.8,0.6,1.5,39.6,0.8,2.2,35.0,,,
264,Jordan Poole,GSW,21,0.8,1.6,46.7,0.2,0.4,55.0,0.2,0.7,31.6,0.4,1.2,34.8,0.4,1.3,29.3,0.9,3.3,28.2,,,
265,Josh Gray,NOP,26,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
266,Josh Hart,NOP,25,1.4,2.1,66.4,0.1,0.2,50.0,0.1,0.3,29.4,0.0,0.1,12.5,0.9,2.2,40.7,0.9,3.3,28.6,,,
267,Josh Jackson,MEM,23,1.6,2.5,65.5,0.3,0.9,36.8,0.0,0.3,16.7,0.1,0.2,40.0,0.6,1.6,38.9,0.5,1.6,27.8,,,
268,Josh Magette,ORL,30,0.5,0.5,100,0.0,0.3,0.0,0.1,0.4,33.3,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.5,25.0,,,
269,Josh Okogie,MIN,21,1.9,3.1,61.5,0.1,0.6,21.1,0.0,0.2,25.0,0.0,0.0,0.0,0.4,1.2,34.7,0.2,1.3,18.3,,,
270,Josh Reaves,DAL,23,1.0,1.7,60.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,,,
271,Josh Richardson,PHI,26,1.4,2.4,58.0,0.5,1.3,40.6,0.5,1.3,33.8,1.0,1.9,52.0,0.6,1.5,40.0,1.2,3.5,33.7,,,
272,Jrue Holiday,NOP,30,4.2,7.1,58.5,0.6,2.0,32.8,0.5,1.0,50.0,0.2,0.6,30.6,0.8,2.2,35.0,1.2,3.5,34.6,,,
273,Juan Toscano-Anderson,GSW,27,1.5,2.8,55.6,0.1,0.1,100,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,36.4,0.3,1.2,28.6,,,
274,Juancho Hernangomez,MIN,24,1.1,2.1,52.5,0.0,0.2,10.0,0.0,0.1,50.0,0.0,0.1,0.0,0.3,0.9,32.6,0.6,1.8,35.3,,,
275,Julius Randle,NYK,25,4.0,6.9,58.3,1.1,2.4,44.7,0.6,1.3,44.7,0.5,1.2,36.7,0.5,1.5,35.4,0.5,2.3,23.3,,,
276,Justin Anderson,BKN,26,0.3,0.8,37.5,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,25.0,0.3,1.7,20.0,,,
277,Justin Holiday,IND,31,0.7,1.3,54.8,0.0,0.1,12.5,0.1,0.2,37.5,0.2,0.4,43.3,1.0,2.4,40.8,0.9,2.2,41.5,,,
278,Justin Jackson,DAL,25,0.8,1.4,56.8,0.3,0.7,46.8,0.2,0.6,35.1,0.0,0.1,40.0,0.2,0.9,22.4,0.5,1.6,32.7,,,
279,Justin James,SAC,23,0.5,0.9,57.7,0.1,0.3,44.4,0.2,0.3,55.6,0.1,0.4,25.0,0.2,0.7,30.0,0.1,0.3,20.0,,,
280,Justin Patton,DET,23,0.2,0.6,33.3,0.7,0.7,100,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.2,0.4,50.0,,,
281,Justin Robinson,WAS,22,0.0,0.0,0.0,0.1,0.1,100,0.0,0.0,0.0,0.1,0.9,16.7,0.2,0.2,100,0.3,0.5,50.0,,,
282,Justin Wright-Foreman,UTA,22,0.7,1.3,50.0,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.3,0.0,0.7,1.7,40.0,0.3,1.5,16.7,,,
283,Justise Winslow,MEM,24,2.4,4.7,50.0,1.0,2.6,37.9,0.3,0.8,33.3,0.4,0.9,40.0,0.1,1.0,9.1,0.5,1.6,27.8,,,
284,Jusuf Nurkic,POR,25,5.4,8.6,62.3,0.9,2.3,38.9,0.1,1.0,12.5,0.1,0.4,33.3,0.1,0.6,20.0,0.1,0.8,16.7,,,
285,Juwan Morgan,UTA,23,0.6,0.9,64.7,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,25.0,0.1,0.2,50.0,,,
286,KZ Okpala,MIA,21,0.6,0.6,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,,
287,Kadeem Allen,NYK,27,0.4,0.9,44.4,0.4,0.8,50.0,0.7,1.1,60.0,0.0,0.1,0.0,0.3,1.0,33.3,0.3,0.9,37.5,,,
288,Karl-Anthony Towns,MIN,24,4.7,6.8,69.5,0.7,1.6,40.4,0.1,0.5,23.5,0.1,0.5,29.4,1.0,2.8,36.7,2.3,5.5,42.9,,,
289,Kawhi Leonard,LAC,29,2.7,4.3,63.0,1.2,2.5,47.2,1.8,3.6,48.1,1.2,2.9,42.5,0.8,2.0,38.4,1.7,4.5,37.8,,,
290,Keita Bates-Diop,DEN,24,1.3,2.2,60.2,0.1,0.5,22.7,0.0,0.2,14.3,0.0,0.0,0.0,0.5,1.3,37.5,0.3,1.1,29.2,,,
291,Kelan Martin,MIN,24,0.8,1.3,63.4,0.3,0.7,47.6,0.3,0.5,66.7,0.0,0.3,0.0,0.5,1.5,31.1,0.3,1.7,20.0,,,
292,Keldon Johnson,SAS,20,1.8,2.6,66.7,0.4,0.8,53.8,0.1,0.4,28.6,0.1,0.2,66.7,0.7,1.2,55.6,0.2,0.3,80.0,,,
293,Kelly Olynyk,MIA,29,1.0,1.5,65.0,0.1,0.4,32.0,0.1,0.2,50.0,0.0,0.2,27.3,0.6,1.4,40.9,0.8,2.1,40.0,,,
294,Kelly Oubre Jr.,PHX,24,3.3,5.8,56.0,0.6,1.6,37.5,0.5,1.1,43.5,0.2,0.4,45.8,1.0,2.7,35.5,1.2,3.1,37.8,,,
295,Kemba Walker,BOS,30,2.1,4.1,52.2,0.2,0.8,28.3,0.4,0.9,45.8,0.6,1.3,45.8,0.8,1.7,45.7,2.6,7.0,37.3,,,
296,Kendrick Nunn,MIA,24,2.0,3.4,58.9,0.4,1.2,36.7,0.5,1.1,44.7,0.9,1.8,48.3,0.8,2.4,34.0,1.4,3.6,37.3,,,
297,Kenrich Williams,NOP,25,0.6,1.0,55.0,0.1,0.1,40.0,0.0,0.1,50.0,0.0,0.0,0.0,0.6,1.6,36.1,0.1,0.9,11.1,,,
298,Kent Bazemore,SAC,30,1.2,2.7,46.2,0.2,0.5,30.6,0.1,0.4,24.1,0.2,0.5,31.4,0.8,2.1,36.3,0.5,1.4,35.8,,,
299,Kentavious Caldwell-Pope,LAL,27,1.4,2.2,63.6,0.1,0.2,45.5,0.2,0.6,36.8,0.3,0.8,46.2,0.8,2.0,38.2,0.6,1.7,38.6,,,
300,Kevin Hervey,OKC,23,0.3,0.4,66.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,100,0.3,0.7,50.0,0.2,2.0,11.1,,,
301,Kevin Huerter,ATL,21,1.1,1.9,55.0,0.3,0.9,36.7,0.5,1.2,43.1,0.3,0.7,44.7,0.7,1.8,39.2,1.6,4.3,37.0,,,
302,Kevin Knox II,NYK,20,0.7,1.5,48.5,0.1,0.4,31.0,0.2,0.4,40.7,0.1,0.5,19.4,0.5,1.5,32.7,0.6,1.8,32.5,,,
