,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
263,Jordan McRae,DET,37,12,25,21.2,11.5,36.7,25.3,2.0,3.30,2.74,0.314,0.1,0.0,0.5,1.250,0.000,1.000
264,Jordan Poole,GSW,57,12,45,22.3,8.8,36.7,24.3,1.9,3.03,2.34,0.240,0.3,0.0,0.2,0.176,0.000,0.462
265,Josh Gray,NOP,2,1,1,11.4,1.0,22.5,15.5,1.2,3.29,2.93,0.044,0.0,0.0,0.5,0.000,0.000,0.000
266,Josh Hart,NOP,64,26,38,27.2,10.2,40.2,21.7,1.4,2.03,1.27,0.254,0.3,0.1,0.9,0.353,0.000,0.690
267,Josh Jackson,MEM,22,10,12,17.3,9.0,24.8,13.9,1.0,2.44,1.74,0.363,0.1,0.1,1.1,0.667,0.000,0.920
268,Josh Magette,ORL,8,3,5,4.7,1.5,10.0,3.5,1.0,5.85,5.99,0.150,0.0,0.0,0.0,0.000,0.000,0.000
269,Josh Okogie,MIN,62,19,43,25.0,8.6,27.9,19.0,1.0,2.23,1.53,0.308,0.3,0.0,2.0,0.684,0.000,0.837
270,Josh Reaves,DAL,4,2,2,7.1,2.0,6.8,4.5,0.2,1.95,1.15,0.296,0.0,0.0,0.8,0.000,0.000,0.667
271,Josh Richardson,PHI,55,33,22,30.8,13.7,50.3,32.6,3.0,3.56,2.86,0.273,0.8,0.1,1.1,0.628,0.857,0.742
272,Jrue Holiday,NOP,60,26,34,34.7,19.1,79.2,36.8,4.8,3.63,3.16,0.241,1.1,0.3,2.0,0.691,0.533,0.683
273,Juan Toscano-Anderson,GSW,13,3,10,20.9,5.3,39.9,20.8,1.5,2.19,1.41,0.133,0.6,0.2,2.0,0.750,0.000,0.846
274,Juancho Hernangomez,MIN,48,24,24,17.4,6.0,23.5,12.8,0.6,1.53,0.55,0.255,0.4,0.2,1.6,1.350,0.364,0.910
275,Julius Randle,NYK,64,21,43,32.5,19.5,68.8,40.7,3.2,2.76,1.67,0.283,3.5,4.8,4.5,0.608,0.563,0.937
276,Justin Anderson,BKN,10,6,4,10.7,2.8,14.7,7.9,0.4,1.64,0.52,0.190,0.0,0.1,0.1,0.000,0.000,3.000
277,Justin Holiday,IND,73,45,28,25.0,8.3,29.8,16.9,0.8,1.62,0.74,0.278,0.4,0.0,0.9,0.414,0.000,0.682
278,Justin Jackson,DAL,64,38,26,16.0,5.6,21.8,12.7,0.6,1.77,0.94,0.257,0.3,0.0,0.9,0.857,1.000,1.017
279,Justin James,SAC,36,14,22,6.5,2.5,7.5,4.8,0.3,2.38,1.46,0.328,0.0,0.0,0.3,0.000,2.000,1.250
280,Justin Patton,DET,5,2,3,4.8,1.8,10.4,6.6,0.3,1.54,0.48,0.173,0.6,0.2,0.8,0.000,0.000,1.500
281,Justin Robinson,WAS,9,2,7,5.4,1.4,7.3,3.0,0.6,4.54,4.41,0.197,0.0,0.0,0.0,0.000,0.000,0.000
282,Justin Wright-Foreman,UTA,4,1,3,11.3,4.8,23.5,11.3,1.6,4.09,3.63,0.202,0.0,0.0,0.0,0.000,0.000,0.000
283,Justise Winslow,MEM,11,7,4,32.0,11.3,67.5,26.9,4.5,3.98,3.38,0.167,0.5,0.9,2.5,1.333,0.600,0.963
284,Jusuf Nurkic,POR,8,6,2,31.6,17.6,66.9,36.4,1.9,1.69,0.48,0.264,3.8,5.4,8.5,1.133,0.558,0.779
285,Juwan Morgan,UTA,21,12,9,6.4,1.7,7.2,4.0,0.2,1.28,0.40,0.238,0.1,0.0,1.0,0.333,0.000,0.857
286,KZ Okpala,MIA,5,2,3,5.2,1.4,3.8,2.2,0.1,2.19,1.63,0.368,0.2,0.0,0.6,0.000,0.000,0.667
287,Kadeem Allen,NYK,10,3,7,11.7,5.0,27.6,8.9,2.3,4.91,4.76,0.181,0.2,0.0,0.1,2.000,0.000,2.000
288,Karl-Anthony Towns,MIN,35,10,25,33.9,26.5,69.5,47.8,2.3,2.01,0.79,0.381,3.3,7.9,5.7,0.491,0.554,1.050
289,Kawhi Leonard,LAC,57,41,16,32.4,27.1,64.2,39.1,4.6,4.34,3.51,0.422,1.0,4.6,1.6,0.804,0.521,0.703
290,Keita Bates-Diop,DEN,44,10,34,16.9,6.5,20.0,12.5,0.6,1.85,0.93,0.327,0.4,0.0,1.3,0.789,1.000,1.086
291,Kelan Martin,MIN,31,12,19,16.0,6.4,18.9,12.1,0.6,1.82,0.95,0.337,0.2,0.0,0.5,0.400,0.000,0.667
292,Keldon Johnson,SAS,17,8,9,17.7,9.1,20.7,12.6,0.8,2.23,1.48,0.438,0.5,0.1,0.9,1.250,0.000,1.188
293,Kelly Olynyk,MIA,66,41,25,19.5,8.2,35.3,19.1,1.0,1.74,0.53,0.233,1.1,0.8,1.8,0.423,0.360,0.925
294,Kelly Oubre Jr.,PHX,55,22,33,34.4,18.7,45.5,31.4,1.7,2.25,1.37,0.411,1.0,0.1,2.9,0.895,0.500,0.994
295,Kemba Walker,BOS,56,37,19,31.1,20.4,70.8,24.1,5.9,5.00,4.59,0.289,0.3,0.0,0.7,0.471,0.000,0.450
296,Kendrick Nunn,MIA,66,42,24,29.3,15.4,50.9,24.2,3.5,4.14,3.67,0.302,0.6,0.1,1.0,0.605,0.250,0.746
297,Kenrich Williams,NOP,39,12,27,21.3,3.5,30.0,16.2,0.8,1.53,0.84,0.116,0.2,0.0,1.6,0.250,0.000,0.419
298,Kent Bazemore,SAC,67,32,35,24.8,8.7,33.0,18.6,1.4,2.53,1.68,0.263,0.3,0.2,0.8,0.636,0.667,0.679
299,Kentavious Caldwell-Pope,LAL,69,51,18,25.5,9.3,31.0,20.3,0.9,1.82,0.95,0.301,0.8,0.0,1.0,0.768,0.000,0.903
300,Kevin Hervey,OKC,10,3,7,5.2,1.7,7.6,4.7,0.2,1.71,0.88,0.224,0.0,0.1,0.2,0.000,0.000,1.000
301,Kevin Huerter,ATL,56,19,37,31.4,12.2,43.5,29.0,2.2,3.05,2.40,0.281,0.3,0.0,1.0,0.778,2.000,0.741
302,Kevin Knox II,NYK,65,21,44,17.9,6.4,22.5,14.6,0.8,2.06,1.10,0.287,0.2,0.1,0.5,0.692,0.167,0.800
303,Kevin Love,CLE,56,16,40,31.8,17.6,61.1,37.4,2.0,1.93,0.58,0.289,1.4,6.8,3.1,0.628,0.532,0.901
304,Kevin Porter Jr.,CLE,50,15,35,23.2,10.0,31.9,21.5,1.8,3.39,2.43,0.312,0.5,0.1,1.3,0.846,0.200,1.094
305,Kevon Looney,GSW,20,6,14,13.1,3.4,21.0,13.9,0.6,1.78,0.72,0.162,1.2,1.3,2.4,0.217,0.192,0.830
306,Khem Birch,ORL,48,19,29,19.2,4.4,25.2,14.6,0.6,1.34,0.45,0.175,3.1,0.5,4.8,0.395,0.273,0.537
307,Khris Middleton,MIL,61,45,16,29.8,21.0,59.3,28.9,3.5,3.52,2.75,0.355,1.3,2.2,1.2,0.701,0.788,0.917
308,Khyri Thomas,DET,8,2,6,7.6,2.1,13.0,6.8,0.9,3.97,3.71,0.163,0.4,0.0,0.3,0.000,0.000,0.000
309,Kostas Antetokounmpo,LAL,5,3,2,4.0,1.4,4.4,2.6,0.1,1.17,0.23,0.318,0.4,0.0,1.4,1.000,0.000,1.000
310,Kris Dunn,CHI,51,19,32,24.9,7.3,45.6,20.5,2.6,3.43,2.78,0.160,0.2,0.1,0.8,0.600,0.333,0.634
311,Kristaps Porzingis,DAL,55,30,25,31.6,20.2,60.0,35.4,1.6,1.58,0.50,0.336,2.5,3.4,4.5,0.836,0.638,1.065
312,Ky Bowman,GSW,45,9,36,22.6,7.4,55.2,23.5,3.8,4.09,3.97,0.135,0.2,0.1,0.5,0.727,0.000,0.417
313,Kyle Alexander,MIA,2,0,2,6.7,1.0,3.5,1.5,0.1,1.47,0.00,0.286,0.0,0.0,1.0,0.000,0.000,1.000
314,Kyle Anderson,MEM,67,32,35,19.8,5.8,29.7,17.1,1.3,2.57,1.48,0.196,0.9,0.2,1.8,0.410,0.357,0.826
315,Kyle Guy,SAC,3,2,1,3.2,1.3,5.0,3.3,0.2,2.81,2.53,0.267,0.0,0.0,0.3,0.000,0.000,2.000
316,Kyle Korver,MIL,57,42,15,16.5,6.6,18.9,13.8,0.5,1.60,0.71,0.350,0.1,0.0,0.2,0.333,0.000,0.333
317,Kyle Kuzma,LAL,61,46,15,25.0,12.8,34.8,21.7,1.5,2.56,1.64,0.369,1.3,1.0,1.7,0.896,0.508,1.000
318,Kyle Lowry,TOR,57,40,17,36.2,19.2,83.2,35.6,5.7,4.09,3.37,0.231,0.4,0.1,0.7,0.273,0.000,0.333
319,Kyle O'Quinn,PHI,29,18,11,10.8,3.5,24.7,14.6,0.7,1.79,0.47,0.143,2.2,0.7,2.1,0.062,0.095,0.683
320,Kyrie Irving,BKN,20,8,12,32.9,27.4,77.6,26.6,6.3,4.91,4.55,0.353,0.8,0.3,1.8,0.667,1.333,0.743
321,LaMarcus Aldridge,SAS,52,22,30,33.0,18.9,55.1,38.7,1.8,1.92,0.76,0.343,2.9,9.7,4.8,0.440,0.588,1.008
322,Lance Thomas,BKN,7,4,3,14.0,3.4,16.1,8.3,0.4,1.38,0.48,0.212,1.0,0.0,0.3,0.571,0.000,1.000
323,Landry Shamet,LAC,53,34,19,27.4,9.3,30.6,18.7,1.2,2.34,1.74,0.304,0.2,0.0,0.3,0.750,0.000,0.824
